name;role;age;season;nation;from;from_l;to;to_l;value
"Nicola Ventola";"Punta centrale";"20";98/99";"Italia";"Bari";"Serie A";"Inter";"Serie A";"21,00 mln "
"Pietro Pellegri";"Punta centrale";"16";17/18";"Italia";"Genoa";"Serie A";"Monaco";"Ligue 1";"21,00 mln "
"Marco Di Vaio";"Punta centrale";"26";02/03";"Italia";"Parma";"Serie A";"Juventus";"Serie A";"21,00 mln "
"Domenico Morfeo";"Trequartista";"22";98/99";"Italia";"Fiorentina";"Serie A";"Milan";"Serie A";"20,00 mln "
"Rolando Mandragora";"Centrale";"21";18/19";"Italia";"Juventus";"Serie A";"Udinese";"Serie A";"20,00 mln "
"Roberto Gagliardini";"Centrale";"23";17/18";"Italia";"Atalanta";"Serie A";"Inter";"Serie A";"20,00 mln "
"Emerson";"Terzino sinistro";"23";17/18";"Italia";"Roma";"Serie A";"Chelsea";"Premier League";"20,00 mln "
"Andrea Bertolacci";"Centrale";"24";15/16";"Italia";"Roma";"Serie A";"Milan";"Serie A";"20,00 mln "
"Mario Balotelli";"Punta centrale";"24";14/15";"Italia";"Milan";"Serie A";"FC Liverpool";"Premier League";"20,00 mln "
"Mario Balotelli";"Punta centrale";"22";12/13";"Italia";"Manchester City";"Premier League";"Milan";"Serie A";"20,00 mln "
"Alberto Aquilani";"Centrale";"25";09/10";"Italia";"Roma";"Serie A";"FC Liverpool";"Premier League";"20,00 mln "
"Angelo Peruzzi";"Portiere";"29";99/00";"Italia";"Juventus";"Serie A";"Inter";"Serie A";"19,00 mln "
"Mattia Caldara";"Difensore centrale";"22";16/17";"Italia";"Atalanta";"Serie A";"Juventus";"Serie A";"19,00 mln "
"Ciro Immobile";"Punta centrale";"24";14/15";"Italia";"Torino";"Serie A";"Bor. Dortmund";"1.Bundesliga";"18,50 mln "
"Andrea Ranocchia";"Difensore centrale";"22";10/11";"Italia";"Genoa";"Serie A";"Inter";"Serie A";"18,50 mln "
"Leonardo Pavoletti";"Punta centrale";"28";16/17";"Italia";"Genoa";"Serie A";"Napoli";"Serie A";"18,00 mln "
"Simone Zaza";"Punta centrale";"24";15/16";"Italia";"Sassuolo";"Serie A";"Juventus";"Serie A";"18,00 mln "
"Matteo Darmian";"Terzino destro";"25";15/16";"Italia";"Torino";"Serie A";"Manchester Utd.";"Premier League";"18,00 mln "
"Giampaolo Pazzini";"Punta centrale";"26";10/11";"Italia";"Sampdoria";"Serie A";"Inter";"Serie A";"18,00 mln "
"Fabio Quagliarella";"Punta centrale";"26";09/10";"Italia";"Udinese";"Serie A";"Napoli";"Serie A";"18,00 mln "
"Angelo Peruzzi";"Portiere";"30";00/01";"Italia";"Inter";"Serie A";"Lazio";"Serie A";"17,90 mln "
"Manuele Blasi";"Centrale";"21";02/03";"Italia";"Perugia";"Serie A";"Juventus";"Serie A";"17,70 mln "
"Christian Vieri";"Punta centrale";"23";97/98";"Italia";"Juventus";"Serie A";"Atlético Madrid";"LaLiga";"17,56 mln "
"Andrea Pirlo";"Mediano";"22";01/02";"Italia";"Inter";"Serie A";"Milan";"Serie A";"17,04 mln "
"Manolo Gabbiadini";"Punta centrale";"25";16/17";"Italia";"Napoli";"Serie A";"FC Southampton";"Premier League";"17,00 mln "
"Stefano Fiore";"Trequartista";"29";04/05";"Italia";"Lazio";"Serie A";"Valencia CF";"LaLiga";"17,00 mln "
"Gianluca Vialli";"Punta centrale";"27";92/93";"Italia";"Sampdoria";"Serie A";"Juventus";"Serie A";"16,50 mln "
"Simone Zaza";"Punta centrale";"26";17/18";"Italia";"Juventus";"Serie A";"Valencia CF";"LaLiga";"16,00 mln "
"Daniel Osvaldo";"Punta centrale";"25";11/12";"Italia";"Espanyol";"LaLiga";"Roma";"Serie A";"16,00 mln "
"Matteo Brighi";"Centrale";"23";04/05";"Italia";"Juventus";"Serie A";"Roma";"Serie A";"16,00 mln "
"Stephan El Shaarawy";"Ala sinistra";"18";11/12";"Italia";"Genoa";"Serie A";"Milan";"Serie A";"15,50 mln "
"Alessandro Matri";"Punta centrale";"26";11/12";"Italia";"Cagliari";"Serie A";"Juventus";"Serie A";"15,50 mln "
"Leonardo Bonucci";"Difensore centrale";"23";10/11";"Italia";"Bari";"Serie A";"Juventus";"Serie A";"15,50 mln "
"Luca Toni";"Punta centrale";"24";01/02";"Italia";"Vicenza";"Serie B";"Brescia";"Serie A";"15,50 mln "
"Cristian Zenoni";"Terzino destro";"24";01/02";"Italia";"Milan";"Serie A";"Juventus";"Serie A";"15,50 mln "
"Daniel Osvaldo";"Punta centrale";"27";13/14";"Italia";"Roma";"Serie A";"FC Southampton";"Premier League";"15,10 mln "
"Gianluca Caprari";"Seconda punta";"23";17/18";"Italia";"Inter";"Serie A";"Sampdoria";"Serie A";"15,00 mln "
"Alessio Cerci";"Ala destra";"27";14/15";"Italia";"Torino";"Serie A";"Atlético Madrid";"LaLiga";"15,00 mln "
"Angelo Ogbonna";"Difensore centrale";"25";13/14";"Italia";"Torino";"Serie A";"Juventus";"Serie A";"15,00 mln "
"Domenico Criscito";"Terzino sinistro";"24";11/12";"Italia";"Genoa";"Serie A";"Zenit";"Premier Liga";"15,00 mln "
"Robert Acquafresca";"Punta centrale";"21";09/10";"Italia";"Inter";"Serie A";"Genoa";"Serie A";"15,00 mln "
"Massimo Donati";"Mediano";"20";01/02";"Italia";"Atalanta";"Serie A";"Milan";"Serie A";"15,00 mln "
"Alberto Gilardino";"Punta centrale";"26";08/09";"Italia";"Milan";"Serie A";"Fiorentina";"Serie A";"14,00 mln "
"Andrea Barzagli";"Difensore centrale";"27";08/09";"Italia";"Palermo";"Serie A";"VfL Wolfsburg";"1.Bundesliga";"14,00 mln "
"Ivan Pelizzoli";"Portiere";"20";01/02";"Italia";"Atalanta";"Serie A";"Roma";"Serie A";"14,00 mln "
"Roberto Soriano";"Centrale";"25";16/17";"Italia";"Sampdoria";"Serie A";"Villarreal CF";"LaLiga";"13,75 mln "
"Fabio Borini";"Ala sinistra";"21";12/13";"Italia";"Roma";"Serie A";"FC Liverpool";"Premier League";"13,30 mln "
