type;name;role;age;season;nation;from;to;market_value;value
"Cessione";"Riccardo Saponara";"Trequartista";"26";18/19";"Italia";"ACF Fiorentina";"Sampdoria";"9,00 mln ";"9,00 mln  Spesa prestito: 2,00 mln "
"Cessione";"Edoardo Sarri";"Portiere";"19";18/19";"Italia";"ACF Fiorentina";"Pontedera";"50 mila ";"50 mila  gratuito"
"Cessione";"Joshua Pérez";"Ala destra";"20";18/19";"Stati Uniti";"ACF Fiorentina";"Los Angeles FC";"225 mila ";"225 mila  gratuito"
"Cessione";"Milan Badelj";"Mediano";"29";18/19";"Croazia";"ACF Fiorentina";"Lazio";"15,00 mln ";"15,00 mln  gratuito"
"Cessione";"Marco Berardi";"Centrale";"22";18/19";"Italia";"ACF Fiorentina";"Südtirol";"75 mila ";"75 mila  ?"
"Cessione";"Jaime Báez";"Punta centrale";"23";18/19";"Uruguay";"ACF Fiorentina";"Cosenza";"700 mila ";"700 mila  Prestito"
"Cessione";"Petko Hristov";"Difensore centrale";"19";18/19";"Bulgaria";"ACF Fiorentina";"Ternana";"800 mila ";"800 mila  Prestito"
"Cessione";"Luzayadio Bangu";"Centrale";"20";18/19";"RD del Congo";"ACF Fiorentina";"Matera";"350 mila ";"350 mila  Prestito"
"Cessione";"Sebastián Cristóforo";"Centrale";"25";18/19";"Uruguay";"ACF Fiorentina";"Getafe CF";"1,80 mln ";"1,80 mln  Prestito"
"Cessione";"Michele Cerofolini";"Portiere";"19";18/19";"Italia";"ACF Fiorentina";"Cosenza";"300 mila ";"300 mila  Prestito"
"Cessione";"Lorenzo Venuti";"Terzino destro";"23";18/19";"Italia";"ACF Fiorentina";"Lecce";"1,50 mln ";"1,50 mln  Prestito"
"Cessione";"Amidu Salifu";"Centrale";"25";18/19";"Ghana";"ACF Fiorentina";"Arezzo";"175 mila ";"175 mila  Prestito"
"Cessione";"Andrés Schetino";"Mediano";"24";18/19";"Uruguay";"ACF Fiorentina";"Cosenza";"300 mila ";"300 mila  Prestito"
"Cessione";"Luca Zanon";"Terzino sinistro";"22";18/19";"Italia";"ACF Fiorentina";"Siena";"125 mila ";"125 mila  Prestito"
"Cessione";"Rafik Zekhnini";"Ala sinistra";"20";18/19";"Norvegia";"ACF Fiorentina";"FC Twente";"700 mila ";"700 mila  Prestito"
"Cessione";"Marco Sportiello";"Portiere";"26";18/19";"Italia";"ACF Fiorentina";"Atalanta";"6,00 mln ";"6,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Cristiano Biraghi";"Terzino sinistro";"25";18/19";"Italia";"ACF Fiorentina";"Pescara";"5,00 mln ";"5,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Simone Lo Faso";"Seconda punta";"20";18/19";"Italia";"ACF Fiorentina";"Palermo";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Gil Dias";"Ala destra";"21";18/19";"Portogallo";"ACF Fiorentina";"Monaco";"3,00 mln ";"3,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Vincent Laurini";"Terzino destro";"29";18/19";"Francia";"ACF Fiorentina";"Empoli";"2,00 mln ";"2,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Riccardo Saponara";"Trequartista";"26";18/19";"Italia";"ACF Fiorentina";"Empoli";"9,00 mln ";"9,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Germán Pezzella";"Difensore centrale";"27";18/19";"Argentina";"ACF Fiorentina";"Real Betis";"13,00 mln ";"13,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Diego Falcinelli";"Punta centrale";"27";18/19";"Italia";"ACF Fiorentina";"Sassuolo";"3,80 mln ";"3,80 mln  Fine prestito 30/giu/2018"
"Acquisto";"Andrea Beghetto";"Centrocampista di sinistra";"23";18/19";"Italia";"Frosinone Calcio";"Genoa";"900 mila ";"900 mila  1,50 mln "
"Acquisto";"Luka Krajnc";"Difensore centrale";"23";18/19";"Slovenia";"Frosinone Calcio";"Cagliari";"1,50 mln ";"1,50 mln  1,00 mln "
"Acquisto";"Raman Chibsah";"Centrale";"25";18/19";"Ghana";"Frosinone Calcio";"Benevento";"1,50 mln ";"1,50 mln  1,00 mln "
"Acquisto";"Francesco Bardi";"Portiere";"26";18/19";"Italia";"Frosinone Calcio";"Inter";"1,00 mln ";"1,00 mln  1,00 mln "
"Acquisto";"Marco Capuano";"Difensore centrale";"26";18/19";"Italia";"Frosinone Calcio";"Cagliari";"1,00 mln ";"1,00 mln  500 mila "
"Acquisto";"Nicola Citro";"Punta centrale";"29";18/19";"Italia";"Frosinone Calcio";"Trapani";"600 mila ";"600 mila  300 mila "
"Acquisto";"Cristian Molinaro";"Terzino sinistro";"34";18/19";"Italia";"Frosinone Calcio";"Torino";"300 mila ";"300 mila  gratuito"
"Acquisto";"Alessandro Iacobucci";"Portiere";"27";18/19";"Italia";"Frosinone Calcio";"Virtus Entella";"600 mila ";"600 mila  gratuito"
"Acquisto";"Joaquín Ardaiz";"Punta centrale";"19";18/19";"Uruguay";"Frosinone Calcio";"FC Chiasso";"1,50 mln ";"1,50 mln  Prestito"
"Acquisto";"Lorenzo Crisetig";"Mediano";"25";18/19";"Italia";"Frosinone Calcio";"Bologna";"1,70 mln ";"1,70 mln  Prestito"
"Acquisto";"Bartosz Salamon";"Difensore centrale";"27";18/19";"Polonia";"Frosinone Calcio";"SPAL";"1,40 mln ";"1,40 mln  Prestito"
"Acquisto";"Francesco Zampano";"Terzino destro";"24";18/19";"Italia";"Frosinone Calcio";"Pescara";"1,80 mln ";"1,80 mln  Prestito"
"Acquisto";"Andrea Pinamonti";"Punta centrale";"19";18/19";"Italia";"Frosinone Calcio";"Inter";"2,00 mln ";"2,00 mln  Prestito"
"Acquisto";"Marco Sportiello";"Portiere";"26";18/19";"Italia";"Frosinone Calcio";"Atalanta";"6,00 mln ";"6,00 mln  Prestito"
"Acquisto";"Paolo Ghiglione";"Terzino destro";"21";18/19";"Italia";"Frosinone Calcio";"Genoa";"1,30 mln ";"1,30 mln  Prestito"
"Acquisto";"Joel Campbell";"Ala destra";"26";18/19";"Costarica";"Frosinone Calcio";"FC Arsenal";"3,00 mln ";"3,00 mln  ?"
"Acquisto";"Francesco Cassata";"Centrale";"21";18/19";"Italia";"Frosinone Calcio";"Sassuolo";"3,50 mln ";"3,50 mln  Prestito"
"Acquisto";"Edoardo Goldaniga";"Difensore centrale";"24";18/19";"Italia";"Frosinone Calcio";"Sassuolo";"3,00 mln ";"3,00 mln  Prestito"
"Acquisto";"Emil Hallfredsson";"Centrale";"34";18/19";"Islanda";"Frosinone Calcio";"Udinese";"600 mila ";"600 mila  ?"
"Acquisto";"Rai Vloet";"Trequartista";"23";18/19";"Olanda";"Frosinone Calcio";"FC Chiasso";"600 mila ";"600 mila  ?"
"Acquisto";"Stipe Perica";"Punta centrale";"23";18/19";"Croazia";"Frosinone Calcio";"Udinese";"2,40 mln ";"2,40 mln  Prestito"
"Cessione";"Moussa Koné";"Centrale";"28";18/19";"Costa d'Avorio";"Frosinone Calcio";"BB Erzurumspor";"900 mila ";"900 mila  300 mila "
"Cessione";"Roberto Crivello";"Terzino sinistro";"26";18/19";"Italia";"Frosinone Calcio";"Spezia";"600 mila ";"600 mila  gratuito"
"Cessione";"Matteo Ciofani";"Terzino destro";"30";18/19";"Italia";"Frosinone Calcio";"Pescara";"1,00 mln ";"1,00 mln  ?"
"Cessione";"Mauro Vigorito";"Portiere";"28";18/19";"Italia";"Frosinone Calcio";"Lecce";"500 mila ";"500 mila  ?"
"Cessione";"Nicola Citro";"Punta centrale";"29";18/19";"Italia";"Frosinone Calcio";"Venezia";"600 mila ";"600 mila  Prestito"
"Cessione";"Michele Volpe";"Punta centrale";"20";18/19";"Italia";"Frosinone Calcio";"Rimini";"150 mila ";"150 mila  Prestito"
"Cessione";"Emanuele Terranova";"Difensore centrale";"31";18/19";"Italia";"Frosinone Calcio";"Cremonese";"900 mila ";"900 mila  ?"
"Cessione";"Alessandro Frara";"Mediano";"35";18/19";"Italia";"Frosinone Calcio";"-";"200 mila ";"200 mila  -"
"Cessione";"Adriano Russo";"Difensore centrale";"31";18/19";"Italia";"Frosinone Calcio";"-";"250 mila ";"250 mila  -"
"Cessione";"Massimo Zappino";"Portiere";"37";18/19";"Italia";"Frosinone Calcio";"-";"100 mila ";"100 mila  -"
"Cessione";"Andrea Beghetto";"Centrocampista di sinistra";"23";18/19";"Italia";"Frosinone Calcio";"Genoa";"900 mila ";"900 mila  Fine prestito 30/giu/2018"
"Cessione";"Luka Krajnc";"Difensore centrale";"23";18/19";"Slovenia";"Frosinone Calcio";"Cagliari";"1,50 mln ";"1,50 mln  Fine prestito 30/giu/2018"
"Cessione";"Raman Chibsah";"Centrale";"25";18/19";"Ghana";"Frosinone Calcio";"Benevento";"1,50 mln ";"1,50 mln  Fine prestito 30/giu/2018"
"Cessione";"Francesco Bardi";"Portiere";"26";18/19";"Italia";"Frosinone Calcio";"Inter";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Nicola Citro";"Punta centrale";"29";18/19";"Italia";"Frosinone Calcio";"Trapani";"600 mila ";"600 mila  Fine prestito 30/giu/2018"
"Acquisto";"Gianluca Lapadula";"Punta centrale";"28";18/19";"Italia";"Genoa CFC";"Milan";"7,00 mln ";"7,00 mln  11,00 mln "
"Acquisto";"Federico Valietti";"Terzino destro";"19";18/19";"Italia";"Genoa CFC";"Inter";"500 mila ";"500 mila  7,50 mln "
"Acquisto";"Andrea Favilli";"Punta centrale";"21";18/19";"Italia";"Genoa CFC";"Juventus";"4,00 mln ";"4,00 mln  Spesa prestito: 5,00 mln "
"Acquisto";"Christian Kouamé";"Punta centrale";"20";18/19";"Costa d'Avorio";"Genoa CFC";"Cittadella";"2,80 mln ";"2,80 mln  5,00 mln "
"Acquisto";"Krzysztof Piatek";"Punta centrale";"23";18/19";"Polonia";"Genoa CFC";"Cracovia Kraków";"900 mila ";"900 mila  4,00 mln "
"Acquisto";"Claudio Spinelli";"Punta centrale";"21";18/19";"Argentina";"Genoa CFC";"Tigre";"4,00 mln ";"4,00 mln  3,60 mln "
"Acquisto";"Sandro";"Mediano";"29";18/19";"Brasile";"Genoa CFC";"Benevento";"2,50 mln ";"2,50 mln  2,30 mln "
"Acquisto";"Cristian Romero";"Difensore centrale";"20";18/19";"Argentina";"Genoa CFC";"Belgrano";"750 mila ";"750 mila  1,65 mln "
"Acquisto";"Ervin Zukanovic";"Difensore centrale";"31";18/19";"Bosnia-Erzegovina";"Genoa CFC";"Roma";"2,00 mln ";"2,00 mln  1,20 mln "
"Acquisto";"Luca Mazzitelli";"Centrale";"22";18/19";"Italia";"Genoa CFC";"Sassuolo";"1,80 mln ";"1,80 mln  Spesa prestito: 1,00 mln "
"Acquisto";"Koray Günter";"Difensore centrale";"23";18/19";"Germania";"Genoa CFC";"Galatasaray";"500 mila ";"500 mila  gratuito"
"Acquisto";"Domenico Criscito";"Terzino sinistro";"31";18/19";"Italia";"Genoa CFC";"Zenit";"4,00 mln ";"4,00 mln  gratuito"
"Acquisto";"Lorenzo Callegari";"Centrale";"20";18/19";"Francia";"Genoa CFC";"Paris SG B";"-";"- gratuito"
"Acquisto";"Rok Vodisek";"Portiere";"19";18/19";"Slovenia";"Genoa CFC";"NK Olimpia";"400 mila ";"400 mila  gratuito"
"Acquisto";"Rômulo";"Centrale";"31";18/19";"Italia";"Genoa CFC";"Verona";"3,00 mln ";"3,00 mln  gratuito"
"Acquisto";"Nicola Dalmonte";"Punta centrale";"20";18/19";"Italia";"Genoa CFC";"RC Cesena";"1,10 mln ";"1,10 mln  gratuito"
"Acquisto";"Federico Marchetti";"Portiere";"35";18/19";"Italia";"Genoa CFC";"Lazio";"800 mila ";"800 mila  gratuito"
"Acquisto";"Ivan Lakicevic";"Terzino destro";"24";18/19";"Serbia";"Genoa CFC";"Vojvodina";"500 mila ";"500 mila  gratuito"
"Acquisto";"Marcos Curado";"Difensore centrale";"23";18/19";"Argentina";"Genoa CFC";"Arsenal FC";"500 mila ";"500 mila  ?"
"Acquisto";"Esteban Rolón";"Mediano";"23";18/19";"Argentina";"Genoa CFC";"Málaga CF";"800 mila ";"800 mila  Prestito"
"Acquisto";"Luigi Carillo";"Difensore centrale";"21";18/19";"Italia";"Genoa CFC";"Pescara";"250 mila ";"250 mila  ?"
"Acquisto";"Fallou Njie";"Difensore centrale";"19";18/19";"Gambia";"Genoa CFC";"Chieri";"25 mila ";"25 mila  ?"
"Acquisto";"Andrei Radu";"Portiere";"21";18/19";"Romania";"Genoa CFC";"Inter";"3,00 mln ";"3,00 mln  Prestito"
"Acquisto";"Lisandro López";"Difensore centrale";"28";18/19";"Argentina";"Genoa CFC";"Benfica";"4,00 mln ";"4,00 mln  Prestito"
"Acquisto";"Marcos Curado";"Difensore centrale";"23";18/19";"Argentina";"Genoa CFC";"Avellino";"500 mila ";"500 mila  Fine prestito 08/ago/2018"
"Acquisto";"Luca Zanimacchia";"Ala destra";"19";18/19";"Italia";"Genoa CFC";"Genoa U19";"200 mila ";"200 mila  -"
"Acquisto";"Giacomo Lucarini";"Difensore centrale";"23";18/19";"Italia";"Genoa CFC";"Pro Piacenza";"25 mila ";"25 mila  Fine prestito 31/ago/2018"
"Acquisto";"Kevin Piscopo";"Seconda punta";"20";18/19";"Italia";"Genoa CFC";"Carrarese";"150 mila ";"150 mila  Fine prestito 30/giu/2018"
"Acquisto";"Alessandro Quaini";"Centrale";"19";18/19";"Italia";"Genoa CFC";"Racing Fondi";"150 mila ";"150 mila  Fine prestito 30/giu/2018"
"Acquisto";"Andrea Beghetto";"Centrocampista di sinistra";"23";18/19";"Italia";"Genoa CFC";"Frosinone";"900 mila ";"900 mila  Fine prestito 30/giu/2018"
"Acquisto";"Davide Brivio";"Terzino sinistro";"30";18/19";"Italia";"Genoa CFC";"Virtus Entella";"300 mila ";"300 mila  Fine prestito 30/giu/2018"
"Acquisto";"Riccardo Improta";"Ala sinistra";"24";18/19";"Italia";"Genoa CFC";"Bari";"1,10 mln ";"1,10 mln  Fine prestito 30/giu/2018"
"Acquisto";"Andrea Gulli";"Terzino destro";"20";18/19";"Italia";"Genoa CFC";"Albissola";"50 mila ";"50 mila  Fine prestito 30/giu/2018"
"Acquisto";"Francesco Corsinelli";"Centrocampista di sinistra";"20";18/19";"Italia";"Genoa CFC";"Pontedera";"175 mila ";"175 mila  Fine prestito 30/giu/2018"
"Acquisto";"Giuseppe Panico";"Seconda punta";"21";18/19";"Italia";"Genoa CFC";"Teramo";"450 mila ";"450 mila  Fine prestito 30/giu/2018"
"Acquisto";"Paolo Ghiglione";"Terzino destro";"21";18/19";"Italia";"Genoa CFC";"Pro Vercelli";"1,30 mln ";"1,30 mln  Fine prestito 30/giu/2018"
"Acquisto";"Giacomo Lucarini";"Difensore centrale";"23";18/19";"Italia";"Genoa CFC";"Ravenna";"25 mila ";"25 mila  Fine prestito 30/giu/2018"
"Acquisto";"Mariano Bernardini";"Centrale";"20";18/19";"Italia";"Genoa CFC";"Paganese";"50 mila ";"50 mila  Fine prestito 30/giu/2018"
"Acquisto";"Simone Tascone";"Centrale";"20";18/19";"Italia";"Genoa CFC";"Paganese";"225 mila ";"225 mila  Fine prestito 30/giu/2018"
"Acquisto";"Leonardo Morosini";"Trequartista";"22";18/19";"Italia";"Genoa CFC";"Avellino";"2,00 mln ";"2,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Raúl Asencio";"Punta centrale";"20";18/19";"Spagna";"Genoa CFC";"Avellino";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Davide Voltan";"Ala destra";"23";18/19";"Italia";"Genoa CFC";"Feralpisalò";"150 mila ";"150 mila  Fine prestito 30/giu/2018"
"Acquisto";"Francesco Renzetti";"Terzino sinistro";"30";18/19";"Italia";"Genoa CFC";"Cremonese";"750 mila ";"750 mila  Fine prestito 30/giu/2018"
"Acquisto";"Thomas Rodríguez";"Centrocampista di destra";"22";18/19";"Cile";"Genoa CFC";"Vitória Setúbal";"500 mila ";"500 mila  Fine prestito 30/giu/2018"
"Acquisto";"Michele Emmausso";"Ala destra";"20";18/19";"Italia";"Genoa CFC";"Siena";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Petar Brlek";"Centrale";"24";18/19";"Croazia";"Genoa CFC";"Wisla Cracovia";"1,50 mln ";"1,50 mln  Fine prestito 30/giu/2018"
"Acquisto";"Franco Ferrari";"Punta centrale";"22";18/19";"Italia";"Genoa CFC";"Pistoiese";"200 mila ";"200 mila  Fine prestito 30/giu/2018"
"Acquisto";"Marco Soprano";"Difensore centrale";"22";18/19";"Italia";"Genoa CFC";"Fano";"50 mila ";"50 mila  Fine prestito 30/giu/2018"
"Acquisto";"Bartosz Wolski";"Centrale";"21";18/19";"Polonia";"Genoa CFC";"Bytovia Bytow";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Nikola Ninkovic";"Ala sinistra";"23";18/19";"Serbia";"Genoa CFC";"Empoli";"800 mila ";"800 mila  Fine prestito 30/giu/2018"
"Acquisto";"Marco Albertoni";"Portiere";"22";18/19";"Italia";"Genoa CFC";"Lucchese";"200 mila ";"200 mila  Fine prestito 30/giu/2018"
"Acquisto";"Riccardo Fiamozzi";"Terzino destro";"25";18/19";"Italia";"Genoa CFC";"Pescara";"750 mila ";"750 mila  Fine prestito 30/giu/2018"
"Acquisto";"Mario Ierardi";"Terzino destro";"20";18/19";"Italia";"Genoa CFC";"Ravenna";"100 mila ";"100 mila  Fine prestito 30/giu/2018"
"Acquisto";"Falou Samb";"Seconda punta";"21";18/19";"Senegal";"Genoa CFC";"Reggina";"125 mila ";"125 mila  Fine prestito 30/giu/2018"
"Cessione";"Diego Laxalt";"Centrocampista di sinistra";"25";18/19";"Uruguay";"Genoa CFC";"Milan";"18,00 mln ";"18,00 mln  14,00 mln "
"Cessione";"Mattia Perin";"Portiere";"25";18/19";"Italia";"Genoa CFC";"Juventus";"16,00 mln ";"16,00 mln  12,00 mln "
"Cessione";"Armando Izzo";"Difensore centrale";"26";18/19";"Italia";"Genoa CFC";"Torino";"8,50 mln ";"8,50 mln  8,00 mln "
"Cessione";"Andrea Beghetto";"Centrocampista di sinistra";"23";18/19";"Italia";"Genoa CFC";"Frosinone";"900 mila ";"900 mila  1,50 mln "
"Cessione";"Leonardo Morosini";"Trequartista";"22";18/19";"Italia";"Genoa CFC";"Brescia";"2,00 mln ";"2,00 mln  1,00 mln "
"Cessione";"Francesco Renzetti";"Terzino sinistro";"30";18/19";"Italia";"Genoa CFC";"Cremonese";"750 mila ";"750 mila  400 mila "
"Cessione";"Francesco Migliore";"Terzino sinistro";"30";18/19";"Italia";"Genoa CFC";"Cremonese";"800 mila ";"800 mila  400 mila "
"Cessione";"David Milinkovic";"Ala sinistra";"24";18/19";"Francia";"Genoa CFC";"Hull City";"400 mila ";"400 mila  300 mila "
"Cessione";"Eugenio Lamanna";"Portiere";"28";18/19";"Italia";"Genoa CFC";"Spezia";"1,00 mln ";"1,00 mln  300 mila "
"Cessione";"Bartosz Wolski";"Centrale";"21";18/19";"Polonia";"Genoa CFC";"Bytovia Bytow";"100 mila ";"100 mila  gratuito"
"Cessione";"Luca Rigoni";"Centrale";"33";18/19";"Italia";"Genoa CFC";"Parma";"1,00 mln ";"1,00 mln  gratuito"
"Cessione";"Isaac Cofie";"Centrale";"26";18/19";"Ghana";"Genoa CFC";"Sporting Gijón";"1,00 mln ";"1,00 mln  gratuito"
"Cessione";"Petar Brlek";"Centrale";"24";18/19";"Croazia";"Genoa CFC";"FC Lugano";"1,25 mln ";"1,25 mln  Prestito"
"Cessione";"Loïck Landre";"Difensore centrale";"26";18/19";"Francia";"Genoa CFC";"Nîmes Olympique";"200 mila ";"200 mila  gratuito"
"Cessione";"Falou Samb";"Seconda punta";"21";18/19";"Senegal";"Genoa CFC";"Mosta FC";"125 mila ";"125 mila  gratuito"
"Cessione";"Santiago Gentiletti";"Difensore centrale";"33";18/19";"Argentina";"Genoa CFC";"Albacete";"200 mila ";"200 mila  gratuito"
"Cessione";"Giuseppe Panico";"Seconda punta";"21";18/19";"Italia";"Genoa CFC";"Cittadella";"450 mila ";"450 mila  gratuito"
"Cessione";"Riccardo Improta";"Ala sinistra";"24";18/19";"Italia";"Genoa CFC";"Benevento";"1,10 mln ";"1,10 mln  gratuito"
"Cessione";"Nikola Ninkovic";"Ala sinistra";"23";18/19";"Serbia";"Genoa CFC";"Ascoli";"800 mila ";"800 mila  ?"
"Cessione";"Lorenzo Callegari";"Centrale";"20";18/19";"Francia";"Genoa CFC";"Ternana";"500 mila ";"500 mila  Prestito"
"Cessione";"Marco Albertoni";"Portiere";"22";18/19";"Italia";"Genoa CFC";"Albissola";"200 mila ";"200 mila  Prestito"
"Cessione";"Marcos Curado";"Difensore centrale";"23";18/19";"Argentina";"Genoa CFC";"Avellino";"500 mila ";"500 mila  Prestito"
"Cessione";"Michele Emmausso";"Ala destra";"20";18/19";"Italia";"Genoa CFC";"Reggina";"75 mila ";"75 mila  Prestito"
"Cessione";"Claudio Spinelli";"Punta centrale";"21";18/19";"Argentina";"Genoa CFC";"Crotone";"4,00 mln ";"4,00 mln  Prestito"
"Cessione";"Alessandro Quaini";"Centrale";"19";18/19";"Italia";"Genoa CFC";"Pro Piacenza";"150 mila ";"150 mila  Prestito"
"Cessione";"Simone Tascone";"Centrale";"20";18/19";"Italia";"Genoa CFC";"Pescara";"225 mila ";"225 mila  ?"
"Cessione";"Andrej Galabinov";"Punta centrale";"29";18/19";"Bulgaria";"Genoa CFC";"Spezia";"1,20 mln ";"1,20 mln  ?"
"Cessione";"Andrea Gulli";"";"";18/19";"-";"Genoa CFC";"-";"";""
